cluster1,cluster2,distance,size
30.0,15.0,0.06484842030555277,2.0
32.0,31.0,0.10036995877328754,3.0
29.0,25.0,0.12282676227522633,2.0
4.0,22.0,0.1625927484858533,2.0
17.0,34.0,0.22172797841454311,3.0
18.0,26.0,0.2251442208851488,2.0
6.0,3.0,0.24807125859773127,2.0
28.0,16.0,0.2773013067587658,2.0
35.0,2.0,0.28135438504038357,3.0
9.0,5.0,0.2942199510019694,2.0
39.0,14.0,0.3118970353338707,3.0
19.0,0.0,0.3323102237329947,2.0
37.0,8.0,0.3634255741213996,3.0
7.0,43.0,0.38963917327049763,3.0
13.0,38.0,0.42727260410296625,3.0
33.0,10.0,0.4317059145084565,4.0
27.0,20.0,0.4420671094395145,2.0
45.0,1.0,0.45126643468762984,4.0
46.0,11.0,0.519617579764778,4.0
44.0,36.0,0.532918650858062,6.0
50.0,12.0,0.5423088204196408,5.0
42.0,24.0,0.667148938715184,4.0
52.0,21.0,0.685122133688774,6.0
40.0,41.0,0.80177693311201,5.0
48.0,23.0,0.8651526149374253,3.0
56.0,53.0,1.0704624067528674,7.0
55.0,54.0,1.0982979383333646,11.0
57.0,51.0,1.24672928198473,13.0
58.0,49.0,2.3363116037242087,15.0
59.0,60.0,5.197591114671752,28.0
61.0,47.0,13.840740313741133,32.0
